['time', 'x', 'y', 'z']
['1728989362.96', '11566.9248309', '11587.6667724', '0.0']
['1728989364.96', '11595.8773812', '11606.8925712', '0.0']
['1728989366.96', '11587.9578665', '11615.3232933', '0.0']
['1728989368.96', '11621.6969092', '11606.6006841', '0.0']
['1728989370.97', '11621.246479', '11620.3990014', '0.0']
['1728989372.97', '11625.5836242', '11631.8888057', '0.0']
['1728989374.97', '11631.89555', '11639.2767698', '0.0']
['1728989376.97', '11665.3950484', '11630.8747496', '0.0']
['1728989378.97', '11671.629131', '11649.2650818', '0.0']
['1728989380.97', '11690.207643', '11687.2847298', '0.0']
['1728989382.97', '11700.34374', '11673.3888997', '0.0']
['1728989384.97', '11699.3743458', '11706.7254538', '0.0']
['1728989386.98', '11681.2351171', '11719.9547084', '0.0']
['1728989388.98', '11714.6188663', '11716.1915559', '0.0']
['1728989390.99', '11720.9639403', '11725.4976404', '0.0']
['1728989392.98', '11734.6673279', '11723.3950119', '0.0']
['1728989394.99', '11762.4413567', '11755.329598', '0.0']
['1728989396.99', '11757.7986501', '11749.6532102', '0.0']
['1728989399.0', '11749.2236396', '11767.3984184', '0.0']
['1728989400.99', '11775.1915743', '11785.9213477', '0.0']
['1728989403.0', '11760.8682812', '11772.1860576', '0.0']
['1728989405.0', '11779.8956168', '11770.8583057', '0.0']
['1728989407.0', '11822.7912125', '11825.2425628', '0.0']
['1728989409.0', '11836.986621', '11826.4895087', '0.0']
['1728989411.01', '11818.2963786', '11831.7924729', '0.0']
['1728989413.01', '11823.5730981', '11836.0908315', '0.0']
['1728989415.01', '11855.0408089', '11824.8223604', '0.0']
['1728989417.01', '11880.3894874', '11841.4887137', '0.0']
['1728989419.02', '11859.1862867', '11889.9496823', '0.0']
['1728989421.01', '11880.2440413', '11898.8683351', '0.0']
['1728989423.02', '11890.7205397', '11865.4782995', '0.0']
['1728989425.02', '11883.581928', '11908.7611427', '0.0']
['1728989427.02', '11910.5027258', '11898.646983', '0.0']
['1728989429.02', '11918.6720223', '11938.8728058', '0.0']
['1728989431.02', '11935.9210352', '11943.5382061', '0.0']
['1728989433.02', '11935.9958867', '11935.6392007', '0.0']
['1728989435.02', '11962.6881902', '11935.3153899', '0.0']
['1728989437.03', '11932.2334276', '11940.9152651', '0.0']
['1728989439.03', '11953.484755', '11969.5487896', '0.0']
['1728989441.03', '11994.224831', '11967.1307859', '0.0']
['1728989443.03', '12004.7423158', '12009.8133958', '0.0']
['1728989445.04', '11988.089534', '11999.8529995', '0.0']
['1728989447.04', '11981.5529376', '11995.3116507', '0.0']
['1728989449.04', '12018.2854468', '12027.073278', '0.0']
