,mean,std
C1F1Bitrate,19.999578736208626,0.8001791568883585
C1F1Jitter,0.942836108324975,0.16826658477176198
C1F1Datagrams,0.0,1.0
C1F1Delay,4.822537813440322,2.7488727030616285
C1S1Bitrate,39.99967903711134,0.925733679753181
C1S1Jitter,1.0515905717151455,0.21068512652532237
C1S1Datagrams,0.0,1.0
C1S1Delay,6.029457372116349,4.8648728740719385
C1F4Bitrate,19.999819458375125,0.8003898044200508
C1F4Jitter,0.9757753259779337,0.16791021169241266
C1F4Datagrams,0.0,1.0
C1F4Delay,5.237970912738215,2.841877379140536
C1F2Bitrate,19.999558676028084,0.8233574913079569
C1F2Jitter,1.7891171514543631,0.2802092374762316
C1F2Datagrams,0.0,1.0
C1F2Delay,7.516799398194583,4.739096045054626
