Time,Bitrate,Jitter,Datagrams
1729951396.44,20.8,0.899,0.0
1729951396.54,19.2,0.810,0.0
1729951396.64,20.8,1.097,0.0
1729951396.74,19.2,1.095,0.0
1729951396.84,19.2,0.883,0.0
1729951396.94,20.8,0.694,0.0
1729951397.04,20.8,0.554,0.0
1729951397.14,19.2,0.569,0.0
1729951397.24,20.8,0.721,0.0
1729951397.34,19.2,0.856,0.0
1729951397.44,20.8,0.718,0.0
1729951397.54,19.2,0.571,0.0
1729951397.64,20.8,0.614,0.0
1729951397.74,19.2,0.773,0.0
1729951397.84,20.8,0.795,0.0
1729951397.94,19.2,0.891,0.0
1729951398.04,20.8,0.662,0.0
1729951398.14,19.2,0.669,0.0
1729951398.24,20.8,0.800,0.0
1729951398.34,19.2,0.857,0.0
1729951398.44,20.8,0.775,0.0
1729951398.54,19.2,0.679,0.0
1729951398.64,20.8,0.686,0.0
1729951398.74,19.2,0.803,0.0
1729951398.84,20.8,0.873,0.0
1729951398.94,19.2,0.747,0.0
1729951399.04,20.8,0.676,0.0
1729951399.14,19.2,0.611,0.0
1729951399.24,20.8,0.807,0.0
1729951399.34,19.2,0.825,0.0
1729951399.44,20.8,0.702,0.0
1729951399.54,19.2,0.666,0.0
1729951399.64,20.8,0.664,0.0
1729951399.74,19.2,1.056,0.0
1729951399.84,20.8,0.957,0.0
1729951399.94,19.2,0.847,0.0
1729951400.04,20.9,0.759,0.0
1729951400.14,19.2,0.794,0.0
1729951400.24,20.8,0.986,0.0
1729951400.34,19.2,0.962,0.0
1729951400.44,20.8,0.933,0.0
1729951400.54,19.2,0.941,0.0
1729951400.64,20.8,0.823,0.0
1729951400.74,19.2,0.951,0.0
1729951400.84,20.8,1.023,0.0
1729951400.94,19.2,0.799,0.0
1729951401.04,19.2,0.734,0.0
1729951401.14,20.8,0.592,0.0
1729951401.24,19.2,0.627,0.0
1729951401.34,20.8,0.827,0.0
1729951401.44,20.8,0.794,0.0
1729951401.54,19.2,0.788,0.0
1729951401.64,20.8,0.602,0.0
1729951401.74,19.2,0.535,0.0
1729951401.84,20.8,0.667,0.0
1729951401.94,19.2,0.697,0.0
1729951402.04,20.8,0.613,0.0
1729951402.14,19.2,0.673,0.0
1729951402.24,20.8,0.622,0.0
1729951402.34,19.2,0.733,0.0
1729951402.44,20.8,0.862,0.0
1729951402.54,19.2,0.747,0.0
1729951402.64,20.8,0.709,0.0
1729951402.74,19.2,0.665,0.0
1729951402.84,20.8,0.820,0.0
1729951402.94,19.2,0.843,0.0
1729951403.04,20.8,0.812,0.0
1729951403.14,19.2,0.761,0.0
1729951403.24,20.8,0.760,0.0
1729951403.34,19.2,0.993,0.0
1729951403.44,20.8,0.943,0.0
1729951403.54,19.2,0.867,0.0
1729951403.64,20.8,0.740,0.0
1729951403.74,19.2,0.833,0.0
1729951403.84,20.8,0.929,0.0
1729951403.94,19.2,1.093,0.0
1729951404.04,20.8,0.898,0.0
1729951404.14,19.2,0.830,0.0
