,mean,std
F4S1Bitrate,40.0,0.5866519252881844
F4S1Jitter,0.6595169508525577,0.14731258042878875
F4S1Datagrams,0.0,1.0
F4S1Delay,5.179351053159478,2.7574383955852464
F4C1Bitrate,7.999652958876631,0.5629591004416585
F4C1Jitter,1.4200335005015046,0.3105080960526246
F4C1Datagrams,0.0,1.0
F4C1Delay,4.96621143430291,2.829015188336245
F4F2Bitrate,19.995506519558678,0.8157427154077727
F4F2Jitter,1.688579739217653,0.27614619220467196
F4F2Datagrams,0.0,1.0
F4F2Delay,6.84468706118355,4.524292390026805
F4F1Bitrate,19.999358074222666,0.8000147874557991
F4F1Jitter,0.9522090270812439,0.172302686822973
F4F1Datagrams,0.0,1.0
F4F1Delay,5.147285857572719,2.8190175666806967
F2F1Bitrate,20.00010030090271,0.7997278812333459
F2F1Jitter,0.8976930792377131,0.16201079400573856
F2F1Datagrams,0.0,1.0
F2F1Delay,4.520530391173521,2.597290340965941
F2S1Bitrate,39.99817452357071,1.0030078523563841
F2S1Jitter,1.12100481444333,0.2107311767714524
F2S1Datagrams,0.0,1.0
F2S1Delay,6.274977933801403,4.405694263216338
F2F4Bitrate,19.998314944834505,0.8310240502075695
F2F4Jitter,1.7826425275827482,0.27743773949251144
F2F4Datagrams,0.0,1.0
F2F4Delay,5.877928786359077,4.463176857410582
F2C1Bitrate,7.9989889669007015,0.6985136970981578
F2C1Jitter,2.602799799398195,0.6201208482540139
F2C1Datagrams,0.0,1.0
F2C1Delay,6.9606910732196585,4.693739604374274
F1S1Bitrate,39.99779338014042,0.8240779446221992
F1S1Jitter,0.6839620862587764,0.14389283725293164
F1S1Datagrams,0.0,1.0
F1S1Delay,5.1313049147442324,2.795303126247446
F1F4Bitrate,19.99849548645938,0.8000524952872381
F1F4Jitter,1.0003799398194584,0.16804268836857736
F1F4Datagrams,0.0,1.0
F1F4Delay,4.609484252758275,2.7182922331119146
F1F2Bitrate,19.993139418254763,0.80081019256401
F1F2Jitter,1.0041853560682046,0.16707282523797096
F1F2Datagrams,0.0,1.0
F1F2Delay,4.690820661985958,2.7630171320769645
F1C1Bitrate,7.996074222668004,0.9337271945966392
F1C1Jitter,1.4924252758274823,0.3210764681165278
F1C1Datagrams,0.0,1.0
F1C1Delay,4.882678034102307,2.7360449922924315
C1F1Bitrate,19.999578736208626,0.8001791568883585
C1F1Jitter,0.942836108324975,0.16826658477176198
C1F1Datagrams,0.0,1.0
C1F1Delay,4.822537813440322,2.7488727030616285
C1S1Bitrate,39.99967903711134,0.925733679753181
C1S1Jitter,1.0515905717151455,0.21068512652532237
C1S1Datagrams,0.0,1.0
C1S1Delay,6.029457372116349,4.8648728740719385
C1F4Bitrate,19.999819458375125,0.8003898044200508
C1F4Jitter,0.9757753259779337,0.16791021169241266
C1F4Datagrams,0.0,1.0
C1F4Delay,5.237970912738215,2.841877379140536
C1F2Bitrate,19.999558676028084,0.8233574913079569
C1F2Jitter,1.7891171514543631,0.2802092374762316
C1F2Datagrams,0.0,1.0
C1F2Delay,7.516799398194583,4.739096045054626
S1F4Bitrate,19.999839518555667,0.8010749888344901
S1F4Jitter,1.0299191574724174,0.1716339684955074
S1F4Datagrams,0.0,1.0
S1F4Delay,4.404120561685055,2.711006572995528
S1F2Bitrate,19.999518555667002,0.8178768467906827
S1F2Jitter,1.653407823470411,0.28548128040795784
S1F2Datagrams,0.0,1.0
S1F2Delay,6.93242928786359,4.698947394354349
S1F1Bitrate,19.996088264794384,0.8013721583892365
S1F1Jitter,0.9229821464393181,0.16766114355862177
S1F1Datagrams,0.0,1.0
S1F1Delay,5.275874022066199,2.781456098135424
S1C1Bitrate,7.999360080240722,0.6104703053485324
S1C1Jitter,2.77838074222668,0.6389942635711853
S1C1Datagrams,0.0,1.0
S1C1Delay,6.0164122367101305,4.504258025630312
