1729950878.570493391: PING 192.168.6.14 (192.168.6.14) 56(84) bytes of data.
1729950885.017654966: 64 bytes from 192.168.6.14: icmp_seq=65 ttl=64 time=2.47 ms
1729950885.119392514: 64 bytes from 192.168.6.14: icmp_seq=66 ttl=64 time=3.74 ms
1729950885.219385643: 64 bytes from 192.168.6.14: icmp_seq=67 ttl=64 time=2.70 ms
1729950885.321102404: 64 bytes from 192.168.6.14: icmp_seq=68 ttl=64 time=3.35 ms
1729950885.421343799: 64 bytes from 192.168.6.14: icmp_seq=69 ttl=64 time=2.49 ms
1729950885.521527786: 64 bytes from 192.168.6.14: icmp_seq=70 ttl=64 time=2.23 ms
1729950885.623099402: 64 bytes from 192.168.6.14: icmp_seq=71 ttl=64 time=2.95 ms
1729950885.722285385: 64 bytes from 192.168.6.14: icmp_seq=72 ttl=64 time=2.64 ms
1729950885.823035860: 64 bytes from 192.168.6.14: icmp_seq=73 ttl=64 time=3.07 ms
1729950885.923324268: 64 bytes from 192.168.6.14: icmp_seq=74 ttl=64 time=2.67 ms
1729950886.025968816: 64 bytes from 192.168.6.14: icmp_seq=75 ttl=64 time=3.94 ms
1729950886.125657730: 64 bytes from 192.168.6.14: icmp_seq=76 ttl=64 time=3.99 ms
1729950886.226633518: 64 bytes from 192.168.6.14: icmp_seq=77 ttl=64 time=4.18 ms
1729950886.325805565: 64 bytes from 192.168.6.14: icmp_seq=78 ttl=64 time=3.41 ms
1729950886.426706325: 64 bytes from 192.168.6.14: icmp_seq=79 ttl=64 time=3.44 ms
1729950886.528636048: 64 bytes from 192.168.6.14: icmp_seq=80 ttl=64 time=5.02 ms
1729950886.629331061: 64 bytes from 192.168.6.14: icmp_seq=81 ttl=64 time=4.58 ms
1729950886.731364332: 64 bytes from 192.168.6.14: icmp_seq=82 ttl=64 time=6.27 ms
1729950886.830294228: 64 bytes from 192.168.6.14: icmp_seq=83 ttl=64 time=4.88 ms
1729950886.932093057: 64 bytes from 192.168.6.14: icmp_seq=84 ttl=64 time=4.75 ms
1729950887.033411848: 64 bytes from 192.168.6.14: icmp_seq=85 ttl=64 time=5.87 ms
1729950887.135389680: 64 bytes from 192.168.6.14: icmp_seq=86 ttl=64 time=6.17 ms
1729950887.237095897: 64 bytes from 192.168.6.14: icmp_seq=87 ttl=64 time=8.16 ms
1729950887.337496563: 64 bytes from 192.168.6.14: icmp_seq=88 ttl=64 time=8.20 ms
1729950887.440596627: 64 bytes from 192.168.6.14: icmp_seq=89 ttl=64 time=9.33 ms
1729950887.541773970: 64 bytes from 192.168.6.14: icmp_seq=90 ttl=64 time=10.9 ms
1729950887.642281721: 64 bytes from 192.168.6.14: icmp_seq=91 ttl=64 time=10.7 ms
1729950887.739907321: 64 bytes from 192.168.6.14: icmp_seq=92 ttl=64 time=7.35 ms
1729950887.836362482: 64 bytes from 192.168.6.14: icmp_seq=93 ttl=64 time=3.03 ms
1729950887.937097070: 64 bytes from 192.168.6.14: icmp_seq=94 ttl=64 time=4.05 ms
1729950888.038422089: 64 bytes from 192.168.6.14: icmp_seq=95 ttl=64 time=4.36 ms
1729950888.137472248: 64 bytes from 192.168.6.14: icmp_seq=96 ttl=64 time=3.64 ms
1729950888.239475618: 64 bytes from 192.168.6.14: icmp_seq=97 ttl=64 time=4.97 ms
1729950888.339049530: 64 bytes from 192.168.6.14: icmp_seq=98 ttl=64 time=4.33 ms
1729950888.440620063: 64 bytes from 192.168.6.14: icmp_seq=99 ttl=64 time=4.65 ms
1729950888.540442987: 64 bytes from 192.168.6.14: icmp_seq=100 ttl=64 time=3.98 ms
1729950888.640341905: 64 bytes from 192.168.6.14: icmp_seq=101 ttl=64 time=3.65 ms
1729950888.740870989: 64 bytes from 192.168.6.14: icmp_seq=102 ttl=64 time=3.73 ms
1729950888.841445854: 64 bytes from 192.168.6.14: icmp_seq=103 ttl=64 time=2.96 ms
1729950888.942565295: 64 bytes from 192.168.6.14: icmp_seq=104 ttl=64 time=4.04 ms
1729950889.041802219: 64 bytes from 192.168.6.14: icmp_seq=105 ttl=64 time=2.93 ms
1729950889.144685780: 64 bytes from 192.168.6.14: icmp_seq=106 ttl=64 time=4.71 ms
1729950889.243420075: 64 bytes from 192.168.6.14: icmp_seq=107 ttl=64 time=3.32 ms
1729950889.346170577: 64 bytes from 192.168.6.14: icmp_seq=108 ttl=64 time=5.70 ms
1729950889.445212560: 64 bytes from 192.168.6.14: icmp_seq=109 ttl=64 time=3.51 ms
1729950889.545681187: 64 bytes from 192.168.6.14: icmp_seq=110 ttl=64 time=2.25 ms
1729950889.646806265: 64 bytes from 192.168.6.14: icmp_seq=111 ttl=64 time=3.60 ms
1729950889.747246136: 64 bytes from 192.168.6.14: icmp_seq=112 ttl=64 time=2.70 ms
1729950889.850666060: 64 bytes from 192.168.6.14: icmp_seq=113 ttl=64 time=5.69 ms
1729950889.949192482: 64 bytes from 192.168.6.14: icmp_seq=114 ttl=64 time=4.09 ms
1729950890.048590547: 64 bytes from 192.168.6.14: icmp_seq=115 ttl=64 time=2.99 ms
1729950890.149067022: 64 bytes from 192.168.6.14: icmp_seq=116 ttl=64 time=3.89 ms
