1729950878.597944758: PING 192.168.6.21 (192.168.6.21) 56(84) bytes of data.
1729950885.035285473: 64 bytes from 192.168.6.21: icmp_seq=65 ttl=63 time=3.06 ms
1729950885.134784611: 64 bytes from 192.168.6.21: icmp_seq=66 ttl=63 time=2.24 ms
1729950885.236922308: 64 bytes from 192.168.6.21: icmp_seq=67 ttl=63 time=3.12 ms
1729950885.335564332: 64 bytes from 192.168.6.21: icmp_seq=68 ttl=63 time=1.83 ms
1729950885.440250008: 64 bytes from 192.168.6.21: icmp_seq=69 ttl=63 time=5.28 ms
1729950885.537775609: 64 bytes from 192.168.6.21: icmp_seq=70 ttl=63 time=2.13 ms
1729950885.638335246: 64 bytes from 192.168.6.21: icmp_seq=71 ttl=63 time=2.55 ms
1729950885.740081315: 64 bytes from 192.168.6.21: icmp_seq=72 ttl=63 time=2.51 ms
1729950885.843815206: 64 bytes from 192.168.6.21: icmp_seq=73 ttl=63 time=5.96 ms
1729950885.940390775: 64 bytes from 192.168.6.21: icmp_seq=74 ttl=63 time=2.11 ms
1729950886.040647576: 64 bytes from 192.168.6.21: icmp_seq=75 ttl=63 time=1.89 ms
1729950886.141571695: 64 bytes from 192.168.6.21: icmp_seq=76 ttl=63 time=2.38 ms
1729950886.242427256: 64 bytes from 192.168.6.21: icmp_seq=77 ttl=63 time=2.72 ms
1729950886.343601999: 64 bytes from 192.168.6.21: icmp_seq=78 ttl=63 time=2.81 ms
1729950886.443798967: 64 bytes from 192.168.6.21: icmp_seq=79 ttl=63 time=2.09 ms
1729950886.544115007: 64 bytes from 192.168.6.21: icmp_seq=80 ttl=63 time=1.69 ms
1729950886.646178686: 64 bytes from 192.168.6.21: icmp_seq=81 ttl=63 time=2.88 ms
1729950886.746536755: 64 bytes from 192.168.6.21: icmp_seq=82 ttl=63 time=2.99 ms
1729950886.848143900: 64 bytes from 192.168.6.21: icmp_seq=83 ttl=63 time=4.32 ms
1729950886.947291156: 64 bytes from 192.168.6.21: icmp_seq=84 ttl=63 time=2.83 ms
1729950887.047577107: 64 bytes from 192.168.6.21: icmp_seq=85 ttl=63 time=2.01 ms
1729950887.150127810: 64 bytes from 192.168.6.21: icmp_seq=86 ttl=63 time=3.47 ms
1729950887.256105774: 64 bytes from 192.168.6.21: icmp_seq=87 ttl=63 time=9.14 ms
1729950887.353300127: 64 bytes from 192.168.6.21: icmp_seq=88 ttl=63 time=5.82 ms
1729950887.457988289: 64 bytes from 192.168.6.21: icmp_seq=89 ttl=63 time=9.44 ms
1729950887.557853931: 64 bytes from 192.168.6.21: icmp_seq=90 ttl=63 time=8.52 ms
1729950887.657878799: 64 bytes from 192.168.6.21: icmp_seq=91 ttl=63 time=7.30 ms
1729950887.755976823: 64 bytes from 192.168.6.21: icmp_seq=92 ttl=63 time=5.19 ms
1729950887.863135613: 64 bytes from 192.168.6.21: icmp_seq=93 ttl=63 time=10.9 ms
1729950887.962111480: 64 bytes from 192.168.6.21: icmp_seq=94 ttl=63 time=9.58 ms
1729950888.061690968: 64 bytes from 192.168.6.21: icmp_seq=95 ttl=63 time=8.83 ms
1729950888.161623653: 64 bytes from 192.168.6.21: icmp_seq=96 ttl=63 time=8.90 ms
1729950888.262391947: 64 bytes from 192.168.6.21: icmp_seq=97 ttl=63 time=9.39 ms
1729950888.368258304: 64 bytes from 192.168.6.21: icmp_seq=98 ttl=63 time=14.5 ms
1729950888.466014444: 64 bytes from 192.168.6.21: icmp_seq=99 ttl=63 time=10.4 ms
1729950888.568591701: 64 bytes from 192.168.6.21: icmp_seq=100 ttl=63 time=12.9 ms
1729950888.669732559: 64 bytes from 192.168.6.21: icmp_seq=101 ttl=63 time=13.4 ms
1729950888.766298659: 64 bytes from 192.168.6.21: icmp_seq=102 ttl=63 time=9.54 ms
1729950888.873528027: 64 bytes from 192.168.6.21: icmp_seq=103 ttl=63 time=15.4 ms
