1729950878.530906078: PING 192.168.6.11 (192.168.6.11) 56(84) bytes of data.
1729950878.533844151: 64 bytes from 192.168.6.11: icmp_seq=1 ttl=64 time=2.97 ms
1729950878.633371921: 64 bytes from 192.168.6.11: icmp_seq=2 ttl=64 time=4.68 ms
1729950878.737460490: 64 bytes from 192.168.6.11: icmp_seq=3 ttl=64 time=8.30 ms
1729950878.837883348: 64 bytes from 192.168.6.11: icmp_seq=4 ttl=64 time=7.79 ms
1729950878.938264001: 64 bytes from 192.168.6.11: icmp_seq=5 ttl=64 time=7.61 ms
1729950879.039145385: 64 bytes from 192.168.6.11: icmp_seq=6 ttl=64 time=7.33 ms
1729950879.144344352: 64 bytes from 192.168.6.11: icmp_seq=7 ttl=64 time=11.2 ms
1729950879.241293282: 64 bytes from 192.168.6.11: icmp_seq=8 ttl=64 time=7.78 ms
1729950879.334663327: 64 bytes from 192.168.6.11: icmp_seq=9 ttl=64 time=0.895 ms
1729950879.435654317: 64 bytes from 192.168.6.11: icmp_seq=10 ttl=64 time=1.21 ms
1729950879.535991071: 64 bytes from 192.168.6.11: icmp_seq=11 ttl=64 time=1.02 ms
1729950879.637007071: 64 bytes from 192.168.6.11: icmp_seq=12 ttl=64 time=1.43 ms
1729950879.739980362: 64 bytes from 192.168.6.11: icmp_seq=13 ttl=64 time=3.83 ms
1729950879.838688833: 64 bytes from 192.168.6.11: icmp_seq=14 ttl=64 time=1.73 ms
1729950879.938111894: 64 bytes from 192.168.6.11: icmp_seq=15 ttl=64 time=0.737 ms
1729950880.043367045: 64 bytes from 192.168.6.11: icmp_seq=16 ttl=64 time=1.15 ms
1729950880.144321360: 64 bytes from 192.168.6.11: icmp_seq=17 ttl=64 time=1.78 ms
1729950880.245941883: 64 bytes from 192.168.6.11: icmp_seq=18 ttl=64 time=1.22 ms
1729950880.346496961: 64 bytes from 192.168.6.11: icmp_seq=19 ttl=64 time=1.70 ms
1729950880.446661716: 64 bytes from 192.168.6.11: icmp_seq=20 ttl=64 time=0.772 ms
1729950880.548318264: 64 bytes from 192.168.6.11: icmp_seq=21 ttl=64 time=1.21 ms
1729950880.648147668: 64 bytes from 192.168.6.11: icmp_seq=22 ttl=64 time=0.828 ms
1729950880.752112637: 64 bytes from 192.168.6.11: icmp_seq=23 ttl=64 time=1.04 ms
1729950880.852866688: 64 bytes from 192.168.6.11: icmp_seq=24 ttl=64 time=1.48 ms
1729950880.952247101: 64 bytes from 192.168.6.11: icmp_seq=25 ttl=64 time=0.794 ms
1729950881.056333647: 64 bytes from 192.168.6.11: icmp_seq=26 ttl=64 time=0.831 ms
1729950881.160082326: 64 bytes from 192.168.6.11: icmp_seq=27 ttl=64 time=1.22 ms
1729950881.261884017: 64 bytes from 192.168.6.11: icmp_seq=28 ttl=64 time=1.88 ms
1729950881.360979287: 64 bytes from 192.168.6.11: icmp_seq=29 ttl=64 time=1.24 ms
1729950881.462018341: 64 bytes from 192.168.6.11: icmp_seq=30 ttl=64 time=1.43 ms
1729950881.566023804: 64 bytes from 192.168.6.11: icmp_seq=31 ttl=64 time=4.66 ms
1729950881.662779312: 64 bytes from 192.168.6.11: icmp_seq=32 ttl=64 time=1.12 ms
1729950881.763775696: 64 bytes from 192.168.6.11: icmp_seq=33 ttl=64 time=1.07 ms
1729950881.863961066: 64 bytes from 192.168.6.11: icmp_seq=34 ttl=64 time=0.809 ms
1729950881.967668801: 64 bytes from 192.168.6.11: icmp_seq=35 ttl=64 time=0.879 ms
1729950882.071872017: 64 bytes from 192.168.6.11: icmp_seq=36 ttl=64 time=1.40 ms
1729950882.173882892: 64 bytes from 192.168.6.11: icmp_seq=37 ttl=64 time=2.39 ms
1729950882.274551735: 64 bytes from 192.168.6.11: icmp_seq=38 ttl=64 time=1.51 ms
1729950882.375148623: 64 bytes from 192.168.6.11: icmp_seq=39 ttl=64 time=2.10 ms
1729950882.474898970: 64 bytes from 192.168.6.11: icmp_seq=40 ttl=64 time=1.41 ms
1729950882.575883347: 64 bytes from 192.168.6.11: icmp_seq=41 ttl=64 time=1.38 ms
1729950882.675784576: 64 bytes from 192.168.6.11: icmp_seq=42 ttl=64 time=1.53 ms
1729950882.776162676: 64 bytes from 192.168.6.11: icmp_seq=43 ttl=64 time=0.863 ms
1729950882.879801675: 64 bytes from 192.168.6.11: icmp_seq=44 ttl=64 time=1.32 ms
1729950882.981956243: 64 bytes from 192.168.6.11: icmp_seq=45 ttl=64 time=2.57 ms
1729950883.082094408: 64 bytes from 192.168.6.11: icmp_seq=46 ttl=64 time=1.47 ms
1729950883.184256565: 64 bytes from 192.168.6.11: icmp_seq=47 ttl=64 time=2.17 ms
1729950883.284847654: 64 bytes from 192.168.6.11: icmp_seq=48 ttl=64 time=2.75 ms
1729950883.387626916: 64 bytes from 192.168.6.11: icmp_seq=49 ttl=64 time=4.44 ms
1729950883.484752683: 64 bytes from 192.168.6.11: icmp_seq=50 ttl=64 time=1.88 ms
1729950883.586190435: 64 bytes from 192.168.6.11: icmp_seq=51 ttl=64 time=1.95 ms
1729950883.687470433: 64 bytes from 192.168.6.11: icmp_seq=52 ttl=64 time=2.82 ms
1729950883.788672198: 64 bytes from 192.168.6.11: icmp_seq=53 ttl=64 time=2.73 ms
1729950883.889836480: 64 bytes from 192.168.6.11: icmp_seq=54 ttl=64 time=3.09 ms
1729950883.990008760: 64 bytes from 192.168.6.11: icmp_seq=55 ttl=64 time=2.51 ms
1729950884.089447170: 64 bytes from 192.168.6.11: icmp_seq=56 ttl=64 time=1.28 ms
1729950884.191997051: 64 bytes from 192.168.6.11: icmp_seq=57 ttl=64 time=2.96 ms
1729950884.292096217: 64 bytes from 192.168.6.11: icmp_seq=58 ttl=64 time=3.54 ms
1729950884.392267202: 64 bytes from 192.168.6.11: icmp_seq=59 ttl=64 time=2.73 ms
1729950884.494140657: 64 bytes from 192.168.6.11: icmp_seq=60 ttl=64 time=3.42 ms
1729950884.593264753: 64 bytes from 192.168.6.11: icmp_seq=61 ttl=64 time=2.07 ms
1729950884.695082819: 64 bytes from 192.168.6.11: icmp_seq=62 ttl=64 time=3.94 ms
1729950884.794853624: 64 bytes from 192.168.6.11: icmp_seq=63 ttl=64 time=3.14 ms
1729950884.895184347: 64 bytes from 192.168.6.11: icmp_seq=64 ttl=64 time=3.21 ms
1729950884.997541222: 64 bytes from 192.168.6.11: icmp_seq=65 ttl=64 time=5.33 ms
1729950885.095583029: 64 bytes from 192.168.6.11: icmp_seq=66 ttl=64 time=2.78 ms
1729950885.197040612: 64 bytes from 192.168.6.11: icmp_seq=67 ttl=64 time=2.40 ms
1729950885.299150196: 64 bytes from 192.168.6.11: icmp_seq=68 ttl=64 time=4.42 ms
