,mean,std
S1F2Bitrate,19.998114343029087,0.8265166934178589
S1F2Jitter,1.5356603811434302,0.25459256258545077
S1F2Datagrams,0.0,1.0
S1F2Delay,7.268091273821464,5.213694896300435
S1F1Bitrate,19.998816449348045,0.8008474720135685
S1F1Jitter,0.8798451354062187,0.16166677248241632
S1F1Datagrams,0.0,1.0
S1F1Delay,4.642278034102307,2.8515887515124274
S1C1Bitrate,7.998688064192578,0.649447480615791
S1C1Jitter,2.588107723169508,0.6286655011750164
S1C1Datagrams,0.0,1.0
S1C1Delay,7.102588766298896,5.385531385732918
S1F4Bitrate,20.00004012036108,0.8025935881868123
S1F4Jitter,1.0221815446339015,0.16570784716560058
S1F4Datagrams,0.0,1.0
S1F4Delay,4.301269809428285,2.864522944841923
