['time', 'x', 'y', 'z']
['1728989372.96', '7740.5', '9740.0', '0.0']
['1728989374.96', '7747.16666667', '9746.66666667', '0.0']
['1728989376.96', '7753.83333333', '9753.33333333', '0.0']
['1728989378.97', '7760.5', '9760.0', '0.0']
['1728989380.97', '7767.16666667', '9766.66666667', '0.0']
['1728989382.97', '7773.83333333', '9773.33333333', '0.0']
['1728989384.97', '7780.5', '9780.0', '0.0']
['1728989386.97', '7787.16666667', '9786.66666667', '0.0']
['1728989388.97', '7793.83333333', '9793.33333333', '0.0']
['1728989390.98', '7800.5', '9800.0', '0.0']
['1728989392.98', '7807.16666667', '9806.66666667', '0.0']
['1728989394.98', '7813.83333333', '9813.33333333', '0.0']
['1728989396.98', '7820.5', '9820.0', '0.0']
['1728989398.99', '7827.16666667', '9826.66666667', '0.0']
['1728989400.99', '7833.83333333', '9833.33333333', '0.0']
['1728989402.99', '7840.5', '9840.0', '0.0']
['1728989405.0', '7847.16666667', '9846.66666667', '0.0']
['1728989407.0', '7853.83333333', '9853.33333333', '0.0']
['1728989409.0', '7860.5', '9860.0', '0.0']
['1728989411.0', '7867.16666667', '9866.66666667', '0.0']
['1728989413.0', '7873.83333333', '9873.33333333', '0.0']
['1728989415.0', '7880.5', '9880.0', '0.0']
['1728989417.0', '7887.16666667', '9886.66666667', '0.0']
['1728989419.01', '7893.83333333', '9893.33333333', '0.0']
['1728989421.01', '7900.5', '9900.0', '0.0']
['1728989423.01', '7907.16666667', '9906.66666667', '0.0']
['1728989425.01', '7913.83333333', '9913.33333333', '0.0']
['1728989427.01', '7920.5', '9920.0', '0.0']
['1728989429.02', '7927.16666667', '9926.66666667', '0.0']
['1728989431.02', '7933.83333333', '9933.33333333', '0.0']
['1728989433.02', '7940.5', '9940.0', '0.0']
['1728989435.02', '7947.16666667', '9946.66666667', '0.0']
['1728989437.02', '7953.83333333', '9953.33333333', '0.0']
['1728989439.02', '7960.5', '9960.0', '0.0']
['1728989441.03', '7967.16666667', '9966.66666667', '0.0']
['1728989443.03', '7973.83333333', '9973.33333333', '0.0']
['1728989445.03', '7980.5', '9980.0', '0.0']
['1728989447.03', '7987.16666667', '9986.66666667', '0.0']
['1728989449.03', '7993.83333333', '9993.33333333', '0.0']
