1729950878.242197130: PING 192.168.6.14 (192.168.6.14) 56(84) bytes of data.
1729950878.246176340: 64 bytes from 192.168.6.14: icmp_seq=1 ttl=64 time=57.6 ms
1729950878.286272904: 64 bytes from 192.168.6.14: icmp_seq=2 ttl=64 time=1.53 ms
1729950878.385654710: 64 bytes from 192.168.6.14: icmp_seq=3 ttl=64 time=0.939 ms
1729950878.487864894: 64 bytes from 192.168.6.14: icmp_seq=4 ttl=64 time=2.76 ms
1729950878.588612876: 64 bytes from 192.168.6.14: icmp_seq=5 ttl=64 time=2.56 ms
1729950878.687036041: 64 bytes from 192.168.6.14: icmp_seq=6 ttl=64 time=0.731 ms
1729950878.792366185: 64 bytes from 192.168.6.14: icmp_seq=7 ttl=64 time=1.89 ms
1729950878.894540521: 64 bytes from 192.168.6.14: icmp_seq=8 ttl=64 time=2.78 ms
1729950878.994820236: 64 bytes from 192.168.6.14: icmp_seq=9 ttl=64 time=2.46 ms
1729950879.095405404: 64 bytes from 192.168.6.14: icmp_seq=10 ttl=64 time=2.39 ms
1729950879.195819886: 64 bytes from 192.168.6.14: icmp_seq=11 ttl=64 time=2.04 ms
1729950879.295377636: 64 bytes from 192.168.6.14: icmp_seq=12 ttl=64 time=1.10 ms
1729950879.397707796: 64 bytes from 192.168.6.14: icmp_seq=13 ttl=64 time=2.27 ms
1729950879.496646126: 64 bytes from 192.168.6.14: icmp_seq=14 ttl=64 time=1.72 ms
1729950879.598294794: 64 bytes from 192.168.6.14: icmp_seq=15 ttl=64 time=2.44 ms
1729950879.698664431: 64 bytes from 192.168.6.14: icmp_seq=16 ttl=64 time=2.52 ms
1729950879.798740244: 64 bytes from 192.168.6.14: icmp_seq=17 ttl=64 time=1.74 ms
1729950879.899755319: 64 bytes from 192.168.6.14: icmp_seq=18 ttl=64 time=1.82 ms
1729950879.999663349: 64 bytes from 192.168.6.14: icmp_seq=19 ttl=64 time=1.18 ms
1729950880.101108788: 64 bytes from 192.168.6.14: icmp_seq=20 ttl=64 time=1.80 ms
