1729950878.241053873: PING 192.168.6.21 (192.168.6.21) 56(84) bytes of data.
1729950884.688223080: 64 bytes from 192.168.6.21: icmp_seq=65 ttl=64 time=0.944 ms
1729950884.789760882: 64 bytes from 192.168.6.21: icmp_seq=66 ttl=64 time=2.37 ms
1729950884.888973173: 64 bytes from 192.168.6.21: icmp_seq=67 ttl=64 time=0.927 ms
1729950884.992816133: 64 bytes from 192.168.6.21: icmp_seq=68 ttl=64 time=5.15 ms
1729950885.089374871: 64 bytes from 192.168.6.21: icmp_seq=69 ttl=64 time=1.38 ms
1729950885.190426588: 64 bytes from 192.168.6.21: icmp_seq=70 ttl=64 time=1.24 ms
1729950885.294068537: 64 bytes from 192.168.6.21: icmp_seq=71 ttl=64 time=4.36 ms
1729950885.393531274: 64 bytes from 192.168.6.21: icmp_seq=72 ttl=64 time=3.12 ms
1729950885.495754163: 64 bytes from 192.168.6.21: icmp_seq=73 ttl=64 time=5.07 ms
1729950885.596468455: 64 bytes from 192.168.6.21: icmp_seq=74 ttl=64 time=5.46 ms
1729950885.696880315: 64 bytes from 192.168.6.21: icmp_seq=75 ttl=64 time=5.53 ms
1729950885.800370287: 64 bytes from 192.168.6.21: icmp_seq=76 ttl=64 time=7.11 ms
1729950885.901547280: 64 bytes from 192.168.6.21: icmp_seq=77 ttl=64 time=8.45 ms
1729950886.003663934: 64 bytes from 192.168.6.21: icmp_seq=78 ttl=64 time=9.84 ms
1729950886.094481251: 64 bytes from 192.168.6.21: icmp_seq=79 ttl=64 time=0.863 ms
1729950886.197525435: 64 bytes from 192.168.6.21: icmp_seq=80 ttl=64 time=1.81 ms
1729950886.296872834: 64 bytes from 192.168.6.21: icmp_seq=81 ttl=64 time=0.864 ms
1729950886.400237908: 64 bytes from 192.168.6.21: icmp_seq=82 ttl=64 time=0.895 ms
1729950886.504118846: 64 bytes from 192.168.6.21: icmp_seq=83 ttl=64 time=0.872 ms
1729950886.619232702: 64 bytes from 192.168.6.21: icmp_seq=84 ttl=64 time=8.63 ms
1729950886.720913686: 64 bytes from 192.168.6.21: icmp_seq=85 ttl=64 time=9.11 ms
1729950886.821399294: 64 bytes from 192.168.6.21: icmp_seq=86 ttl=64 time=9.03 ms
1729950886.913445618: 64 bytes from 192.168.6.21: icmp_seq=87 ttl=64 time=1.72 ms
1729950887.014953289: 64 bytes from 192.168.6.21: icmp_seq=88 ttl=64 time=1.58 ms
1729950887.114863915: 64 bytes from 192.168.6.21: icmp_seq=89 ttl=64 time=1.53 ms
1729950887.215165722: 64 bytes from 192.168.6.21: icmp_seq=90 ttl=64 time=0.840 ms
1729950887.319300604: 64 bytes from 192.168.6.21: icmp_seq=91 ttl=64 time=0.864 ms
1729950887.423504575: 64 bytes from 192.168.6.21: icmp_seq=92 ttl=64 time=0.944 ms
1729950887.528170239: 64 bytes from 192.168.6.21: icmp_seq=93 ttl=64 time=1.05 ms
1729950887.628747692: 64 bytes from 192.168.6.21: icmp_seq=94 ttl=64 time=1.24 ms
1729950887.728449323: 64 bytes from 192.168.6.21: icmp_seq=95 ttl=64 time=0.781 ms
1729950887.832934567: 64 bytes from 192.168.6.21: icmp_seq=96 ttl=64 time=1.67 ms
1729950887.936423703: 64 bytes from 192.168.6.21: icmp_seq=97 ttl=64 time=4.25 ms
1729950888.034676666: 64 bytes from 192.168.6.21: icmp_seq=98 ttl=64 time=2.85 ms
1729950888.137271777: 64 bytes from 192.168.6.21: icmp_seq=99 ttl=64 time=3.23 ms
1729950888.237637120: 64 bytes from 192.168.6.21: icmp_seq=100 ttl=64 time=4.21 ms
1729950888.338134918: 64 bytes from 192.168.6.21: icmp_seq=101 ttl=64 time=3.35 ms
1729950888.438299530: 64 bytes from 192.168.6.21: icmp_seq=102 ttl=64 time=3.78 ms
1729950888.539421324: 64 bytes from 192.168.6.21: icmp_seq=103 ttl=64 time=3.82 ms
1729950888.640971250: 64 bytes from 192.168.6.21: icmp_seq=104 ttl=64 time=3.87 ms
1729950888.742269581: 64 bytes from 192.168.6.21: icmp_seq=105 ttl=64 time=4.27 ms
1729950888.842106626: 64 bytes from 192.168.6.21: icmp_seq=106 ttl=64 time=3.35 ms
1729950888.943070658: 64 bytes from 192.168.6.21: icmp_seq=107 ttl=64 time=4.56 ms
1729950889.043656760: 64 bytes from 192.168.6.21: icmp_seq=108 ttl=64 time=3.79 ms
1729950889.144222023: 64 bytes from 192.168.6.21: icmp_seq=109 ttl=64 time=4.13 ms
1729950889.243994439: 64 bytes from 192.168.6.21: icmp_seq=110 ttl=64 time=3.34 ms
1729950889.347217981: 64 bytes from 192.168.6.21: icmp_seq=111 ttl=64 time=5.78 ms
1729950889.445805651: 64 bytes from 192.168.6.21: icmp_seq=112 ttl=64 time=3.38 ms
1729950889.545857438: 64 bytes from 192.168.6.21: icmp_seq=113 ttl=64 time=2.84 ms
1729950889.648506262: 64 bytes from 192.168.6.21: icmp_seq=114 ttl=64 time=3.63 ms
1729950889.749568430: 64 bytes from 192.168.6.21: icmp_seq=115 ttl=64 time=3.50 ms
1729950889.852601781: 64 bytes from 192.168.6.21: icmp_seq=116 ttl=64 time=6.64 ms
1729950889.951414134: 64 bytes from 192.168.6.21: icmp_seq=117 ttl=64 time=4.79 ms
1729950890.052622513: 64 bytes from 192.168.6.21: icmp_seq=118 ttl=64 time=4.10 ms
1729950890.154381372: 64 bytes from 192.168.6.21: icmp_seq=119 ttl=64 time=5.48 ms
1729950890.254217743: 64 bytes from 192.168.6.21: icmp_seq=120 ttl=64 time=4.96 ms
1729950890.356878817: 64 bytes from 192.168.6.21: icmp_seq=121 ttl=64 time=7.16 ms
1729950890.455479448: 64 bytes from 192.168.6.21: icmp_seq=122 ttl=64 time=5.13 ms
1729950890.556197238: 64 bytes from 192.168.6.21: icmp_seq=123 ttl=64 time=5.05 ms
1729950890.657166807: 64 bytes from 192.168.6.21: icmp_seq=124 ttl=64 time=6.17 ms
1729950890.757197168: 64 bytes from 192.168.6.21: icmp_seq=125 ttl=64 time=5.22 ms
1729950890.858234586: 64 bytes from 192.168.6.21: icmp_seq=126 ttl=64 time=5.65 ms
1729950890.958141427: 64 bytes from 192.168.6.21: icmp_seq=127 ttl=64 time=4.62 ms
1729950891.058700555: 64 bytes from 192.168.6.21: icmp_seq=128 ttl=64 time=4.65 ms
1729950891.160243285: 64 bytes from 192.168.6.21: icmp_seq=129 ttl=64 time=5.49 ms
1729950891.260910690: 64 bytes from 192.168.6.21: icmp_seq=130 ttl=64 time=4.76 ms
1729950891.362399501: 64 bytes from 192.168.6.21: icmp_seq=131 ttl=64 time=5.56 ms
1729950891.463832235: 64 bytes from 192.168.6.21: icmp_seq=132 ttl=64 time=6.10 ms
1729950891.563690824: 64 bytes from 192.168.6.21: icmp_seq=133 ttl=64 time=5.87 ms
1729950891.664640545: 64 bytes from 192.168.6.21: icmp_seq=134 ttl=64 time=5.70 ms
1729950891.765661584: 64 bytes from 192.168.6.21: icmp_seq=135 ttl=64 time=5.44 ms
1729950891.866300551: 64 bytes from 192.168.6.21: icmp_seq=136 ttl=64 time=5.39 ms
1729950891.967128265: 64 bytes from 192.168.6.21: icmp_seq=137 ttl=64 time=5.09 ms
1729950892.067906691: 64 bytes from 192.168.6.21: icmp_seq=138 ttl=64 time=5.58 ms
1729950892.170226659: 64 bytes from 192.168.6.21: icmp_seq=139 ttl=64 time=7.07 ms
1729950892.268240270: 64 bytes from 192.168.6.21: icmp_seq=140 ttl=64 time=4.77 ms
1729950892.369044380: 64 bytes from 192.168.6.21: icmp_seq=141 ttl=64 time=4.40 ms
1729950892.472032819: 64 bytes from 192.168.6.21: icmp_seq=142 ttl=64 time=5.85 ms
1729950892.572827204: 64 bytes from 192.168.6.21: icmp_seq=143 ttl=64 time=6.25 ms
1729950892.678102609: 64 bytes from 192.168.6.21: icmp_seq=144 ttl=64 time=10.9 ms
1729950892.775189957: 64 bytes from 192.168.6.21: icmp_seq=145 ttl=64 time=7.97 ms
1729950892.875775138: 64 bytes from 192.168.6.21: icmp_seq=146 ttl=64 time=8.07 ms
1729950892.976780982: 64 bytes from 192.168.6.21: icmp_seq=147 ttl=64 time=8.36 ms
1729950893.078862447: 64 bytes from 192.168.6.21: icmp_seq=148 ttl=64 time=9.86 ms
1729950893.184511403: 64 bytes from 192.168.6.21: icmp_seq=149 ttl=64 time=14.5 ms
1729950893.282820808: 64 bytes from 192.168.6.21: icmp_seq=150 ttl=64 time=11.6 ms
1729950893.384435075: 64 bytes from 192.168.6.21: icmp_seq=151 ttl=64 time=11.9 ms
1729950893.484485467: 64 bytes from 192.168.6.21: icmp_seq=152 ttl=64 time=12.1 ms
1729950893.583216622: 64 bytes from 192.168.6.21: icmp_seq=153 ttl=64 time=10.8 ms
1729950893.685075354: 64 bytes from 192.168.6.21: icmp_seq=154 ttl=64 time=11.7 ms
1729950893.783096994: 64 bytes from 192.168.6.21: icmp_seq=155 ttl=64 time=8.62 ms
1729950893.884143260: 64 bytes from 192.168.6.21: icmp_seq=156 ttl=64 time=8.38 ms
1729950893.991777565: 64 bytes from 192.168.6.21: icmp_seq=157 ttl=64 time=16.0 ms
1729950894.081832544: 64 bytes from 192.168.6.21: icmp_seq=158 ttl=64 time=5.36 ms
1729950894.185305611: 64 bytes from 192.168.6.21: icmp_seq=159 ttl=64 time=8.22 ms
1729950894.282706952: 64 bytes from 192.168.6.21: icmp_seq=160 ttl=64 time=4.83 ms
1729950894.384432888: 64 bytes from 192.168.6.21: icmp_seq=161 ttl=64 time=5.21 ms
