,mean,std
F2F4Bitrate,19.999618856569708,0.8335840944337749
F2F4Jitter,1.6030866599799398,0.2865833403137977
F2F4Datagrams,0.0,1.0
F2F4Delay,6.7992647943831495,4.955509339526735
F2S1Bitrate,39.99881644934805,1.0437167418999271
F2S1Jitter,1.0554156469408225,0.21528443399015898
F2S1Datagrams,0.0,1.0
F2S1Delay,6.416135406218656,4.996560830523283
F2C1Bitrate,7.998704112337011,0.7213479008740689
F2C1Jitter,2.698432296890672,0.6099789074078608
F2C1Datagrams,0.0,1.0
F2C1Delay,6.243617853560681,4.7284931961376415
F2F1Bitrate,19.998916750250753,0.8043480324849182
F2F1Jitter,0.9896944834503512,0.164741924368367
F2F1Datagrams,0.0,1.0
F2F1Delay,4.536288064192578,2.832519622793192
