Time,Bitrate,Jitter,Datagrams
1729950878.27,41.5,0.603,0.0
1729950878.37,38.4,1.166,0.0
1729950878.47,40.0,1.363,0.0
1729950878.57,40.0,1.090,0.0
1729950878.67,40.0,1.223,0.0
1729950878.77,41.6,1.046,0.0
1729950878.87,38.4,1.074,0.0
1729950878.97,40.0,1.179,0.0
1729950879.07,40.0,1.080,0.0
1729950879.17,40.0,1.088,0.0
1729950879.27,40.0,1.046,0.0
1729950879.37,38.4,1.307,0.0
1729950879.47,40.0,1.093,0.0
1729950879.57,40.0,1.130,0.0
1729950879.67,40.0,1.161,0.0
1729950879.77,40.0,1.194,0.0
1729950879.87,40.0,1.249,0.0
1729950879.97,40.0,1.151,0.0
1729950880.07,40.0,1.073,0.0
1729950880.17,40.0,1.208,0.0
1729950880.27,40.0,1.139,0.0
1729950880.37,41.6,1.071,0.0
1729950880.47,40.0,1.005,0.0
1729950880.57,38.4,1.186,0.0
1729950880.67,41.6,0.927,0.0
1729950880.77,36.8,1.034,0.0
1729950880.87,41.6,1.018,0.0
1729950880.97,40.0,1.218,0.0
1729950881.07,38.4,0.962,0.0
1729950881.17,40.0,0.950,0.0
1729950881.27,40.0,1.374,0.0
1729950881.37,40.0,1.247,0.0
1729950881.47,40.0,1.559,0.0
1729950881.57,40.0,1.093,0.0
1729950881.67,38.4,0.944,0.0
1729950881.77,41.6,0.948,0.0
1729950881.87,41.6,0.813,0.0
1729950881.97,40.0,0.867,0.0
1729950882.07,40.1,0.865,0.0
1729950882.17,40.0,0.803,0.0
1729950882.27,40.0,0.757,0.0
1729950882.37,40.0,0.804,0.0
1729950882.47,40.0,0.971,0.0
1729950882.57,40.0,0.810,0.0
1729950882.67,40.0,0.859,0.0
1729950882.77,40.0,0.930,0.0
1729950882.87,40.0,0.901,0.0
1729950882.97,40.0,1.075,0.0
1729950883.07,40.0,0.999,0.0
1729950883.17,40.0,1.094,0.0
1729950883.27,40.0,0.974,0.0
1729950883.37,41.6,0.889,0.0
1729950883.47,38.4,0.976,0.0
1729950883.57,40.0,0.856,0.0
1729950883.67,40.0,0.901,0.0
1729950883.77,40.0,0.916,0.0
1729950883.87,41.6,1.067,0.0
1729950883.97,40.0,0.896,0.0
1729950884.07,40.0,0.943,0.0
1729950884.17,40.0,1.144,0.0
1729950884.27,38.4,1.076,0.0
1729950884.37,41.6,1.432,0.0
1729950884.47,40.0,1.247,0.0
1729950884.57,38.4,1.199,0.0
1729950884.67,40.0,1.196,0.0
1729950884.77,40.0,1.235,0.0
1729950884.87,38.4,1.607,0.0
1729950884.97,41.6,1.242,0.0
1729950885.07,40.0,1.153,0.0
1729950885.17,40.0,0.928,0.0
1729950885.27,40.0,0.844,0.0
1729950885.37,38.4,1.327,0.0
1729950885.47,40.0,1.215,0.0
1729950885.57,40.0,1.139,0.0
1729950885.67,40.0,1.152,0.0
1729950885.77,40.0,1.161,0.0
1729950885.87,38.4,0.959,0.0
1729950885.97,41.6,0.764,0.0
1729950886.07,40.0,0.707,0.0
1729950886.17,41.6,0.799,0.0
1729950886.27,40.0,0.663,0.0
1729950886.37,40.0,1.036,0.0
1729950886.47,40.0,0.688,0.0
1729950886.57,40.0,0.689,0.0
1729950886.67,40.0,0.935,0.0
1729950886.77,40.0,0.893,0.0
1729950886.87,40.0,0.883,0.0
1729950886.97,40.0,0.716,0.0
1729950887.07,41.6,0.696,0.0
1729950887.17,40.0,1.174,0.0
1729950887.27,40.0,0.817,0.0
1729950887.37,40.0,0.793,0.0
1729950887.47,40.0,0.765,0.0
1729950887.57,40.0,0.857,0.0
1729950887.67,40.0,1.034,0.0
1729950887.77,40.0,0.979,0.0
1729950887.87,38.4,0.830,0.0
1729950887.97,41.6,0.943,0.0
1729950888.07,40.0,0.750,0.0
1729950888.17,40.0,1.134,0.0
1729950888.27,38.4,1.043,0.0
1729950888.37,41.6,0.893,0.0
1729950888.47,40.0,1.214,0.0
1729950888.57,40.0,1.180,0.0
1729950888.67,40.0,1.031,0.0
1729950888.77,40.0,1.074,0.0
1729950888.87,38.4,1.044,0.0
1729950888.97,40.0,1.233,0.0
1729950889.07,40.0,1.347,0.0
1729950889.17,41.6,1.268,0.0
1729950889.27,38.4,1.360,0.0
1729950889.37,40.0,1.275,0.0
1729950889.47,40.0,1.287,0.0
1729950889.57,40.0,1.169,0.0
1729950889.67,40.0,1.222,0.0
1729950889.77,40.0,1.385,0.0
1729950889.87,40.0,1.250,0.0
1729950889.97,38.4,1.355,0.0
1729950890.07,38.4,1.093,0.0
1729950890.17,41.6,1.466,0.0
1729950890.27,40.0,0.942,0.0
1729950890.37,41.6,1.022,0.0
1729950890.47,40.0,0.813,0.0
1729950890.57,41.6,1.032,0.0
1729950890.67,40.0,1.049,0.0
1729950890.77,40.0,1.009,0.0
1729950890.87,38.4,1.196,0.0
1729950890.97,41.6,0.849,0.0
1729950891.07,38.4,1.063,0.0
1729950891.17,40.0,0.933,0.0
1729950891.27,40.0,1.083,0.0
1729950891.37,41.6,1.158,0.0
1729950891.47,38.4,1.080,0.0
1729950891.57,38.4,1.173,0.0
1729950891.67,43.2,1.466,0.0
1729950891.77,38.4,1.178,0.0
1729950891.87,40.0,1.009,0.0
1729950891.97,40.0,1.036,0.0
1729950892.07,40.0,1.248,0.0
1729950892.17,40.0,1.230,0.0
1729950892.27,40.0,1.346,0.0
1729950892.37,40.0,1.199,0.0
1729950892.47,40.0,1.063,0.0
1729950892.57,38.4,1.320,0.0
1729950892.67,43.2,1.217,0.0
1729950892.77,40.0,1.168,0.0
1729950892.87,40.0,1.176,0.0
1729950892.97,40.0,1.148,0.0
1729950893.07,35.2,1.345,0.0
1729950893.17,43.2,1.367,0.0
1729950893.27,40.0,1.244,0.0
1729950893.37,40.0,1.484,0.0
1729950893.47,40.0,1.279,0.0
1729950893.57,38.4,1.271,0.0
1729950893.67,41.6,1.189,0.0
1729950893.77,40.0,1.169,0.0
1729950893.87,35.2,1.491,0.0
1729950893.97,44.8,1.157,0.0
1729950894.07,36.8,1.072,0.0
1729950894.17,41.6,0.978,0.0
1729950894.27,40.0,1.094,0.0
1729950894.37,40.0,1.343,0.0
1729950894.47,40.0,1.181,0.0
1729950894.57,40.0,1.037,0.0
1729950894.67,41.6,0.909,0.0
1729950894.77,40.0,0.945,0.0
1729950894.87,40.0,1.143,0.0
1729950894.97,40.0,1.199,0.0
1729950895.07,40.0,1.092,0.0
1729950895.17,40.0,1.077,0.0
1729950895.27,40.0,0.983,0.0
1729950895.37,40.0,1.294,0.0
1729950895.47,40.0,1.242,0.0
1729950895.57,40.0,1.194,0.0
1729950895.67,40.0,1.202,0.0
1729950895.77,40.0,1.168,0.0
1729950895.87,38.4,1.339,0.0
1729950895.97,41.6,1.393,0.0
1729950896.07,38.4,1.187,0.0
1729950896.17,41.6,1.321,0.0
1729950896.27,38.4,1.150,0.0
1729950896.37,40.0,1.407,0.0
1729950896.47,40.0,1.414,0.0
1729950896.57,40.0,1.159,0.0
1729950896.67,40.0,1.277,0.0
1729950896.77,40.0,1.265,0.0
1729950896.87,40.0,1.527,0.0
1729950896.97,40.0,1.294,0.0
1729950897.07,40.0,1.093,0.0
1729950897.17,40.0,1.063,0.0
1729950897.27,40.0,1.180,0.0
1729950897.37,41.6,1.189,0.0
1729950897.47,40.0,1.046,0.0
1729950897.57,40.0,1.054,0.0
1729950897.67,40.0,1.483,0.0
1729950897.77,40.0,1.378,0.0
1729950897.87,40.0,1.339,0.0
1729950897.97,40.0,1.302,0.0
1729950898.07,40.0,1.200,0.0
1729950898.17,38.4,1.211,0.0
1729950898.27,41.6,1.202,0.0
1729950898.37,40.0,1.497,0.0
1729950898.47,40.0,1.400,0.0
1729950898.57,38.4,1.052,0.0
1729950898.67,38.4,0.816,0.0
1729950898.77,41.6,0.796,0.0
1729950898.87,40.0,1.161,0.0
1729950898.97,41.6,0.865,0.0
1729950899.07,40.0,0.701,0.0
1729950899.17,40.0,0.893,0.0
1729950899.27,40.0,1.072,0.0
1729950899.37,41.6,0.897,0.0
1729950899.47,38.4,0.868,0.0
1729950899.57,40.0,0.798,0.0
1729950899.67,40.0,1.051,0.0
1729950899.77,41.6,1.038,0.0
1729950899.87,40.0,0.847,0.0
1729950899.97,40.0,0.826,0.0
